,grid_id,latitude,longitude
0,"(37, 108)",-53.64689579,-72.0379927
1,"(42, 108)",-48.50091298,-72.91190076
2,"(42, 111)",-48.81270671,-69.94144159
3,"(44, 107)",-46.41965645,-73.26041335
4,"(44, 107)",-46.41965645,-73.26041335
5,"(44, 349)",-46.07785348,168.9731697
6,"(44, 349)",-46.46656756,168.3505532
7,"(44, 350)",-46.09115659,169.5510064
8,"(45, 110)",-45.33862148,-70.63122984
9,"(45, 113)",-45.28369338,-67.70861118
10,"(45, 348)",-45.72825262,167.9309925
11,"(45, 348)",-45.72825262,167.9309925
12,"(45, 348)",-45.72825262,167.9309925
13,"(45, 350)",-45.26804443,169.4218336
14,"(45, 350)",-45.26804443,169.4218336
15,"(45, 351)",-45.67160655,170.251506
16,"(45, 351)",-45.67160655,170.251506
17,"(46, 352)",-44.02887225,171.0860747
18,"(47, 108)",-43.1838015,-72.05581241
19,"(47, 350)",-43.55166214,169.9098579
20,"(47, 350)",-43.55166214,169.9098579
21,"(47, 350)",-43.55166214,169.9098579
22,"(47, 352)",-43.67899663,171.4941528
23,"(47, 352)",-43.67899663,171.4941528
24,"(47, 352)",-43.67899663,171.4941528
25,"(47, 352)",-43.67899663,171.4941528
26,"(47, 352)",-43.67899663,171.4941528
27,"(47, 353)",-43.6809071,172.7592071
28,"(47, 353)",-43.6809071,172.7592071
29,"(48, 107)",-42.64645665,-73.85444843
30,"(48, 108)",-42.03620172,-72.89815522
31,"(48, 108)",-42.15241068,-72.36799701
32,"(48, 328)",-42.71933995,147.2608637
33,"(48, 328)",-42.89783873,147.2876087
34,"(48, 351)",-42.79701666,170.8720664
35,"(48, 351)",-42.79701666,170.8720664
36,"(48, 351)",-42.79701666,170.8720664
37,"(48, 351)",-42.79701666,170.8720664
38,"(48, 354)",-42.19829323,173.6436399
39,"(49, 108)",-41.47604118,-72.81041733
40,"(49, 108)",-41.47605364,-72.80832601
41,"(49, 108)",-41.17056752,-72.42058734
42,"(49, 108)",-41.47604118,-72.81041733
43,"(49, 108)",-41.3937943,-72.77471673
44,"(49, 109)",-41.50259938,-71.53117244
45,"(49, 109)",-41.50259938,-71.53117244
46,"(49, 109)",-41.50259938,-71.53117244
47,"(49, 327)",-41.9685443,146.6261349
48,"(49, 327)",-41.9685443,146.6261349
49,"(49, 353)",-41.44884856,172.6554888
50,"(49, 353)",-41.43978791,172.6882583
51,"(49, 353)",-41.44884856,172.6554888
52,"(49, 353)",-41.43978791,172.6882583
53,"(49, 355)",-41.10102857,174.8965603
54,"(49, 356)",-41.0906313,175.4728135
55,"(49, 356)",-41.0902982,175.4724109
56,"(50, 108)",-40.54722381,-72.46937303
57,"(50, 113)",-40.40681066,-67.22900144
58,"(50, 118)",-40.1902147,-62.84234352
59,"(50, 356)",-40.39777591,175.6435899
60,"(50, 356)",-40.89554861,175.8841912
61,"(50, 356)",-40.8604981,175.1701529
62,"(50, 356)",-40.58017349,175.3536555
63,"(50, 356)",-40.58017349,175.3536555
64,"(51, 108)",-39.42942608,-72.13881766
65,"(51, 108)",-39.42942608,-72.13881766
66,"(51, 109)",-39.21775253,-71.77059619
67,"(51, 356)",-39.7733382,175.602315
68,"(51, 356)",-39.71310769,175.1377207
69,"(51, 356)",-39.6878531,175.7822611
70,"(52, 107)",-38.65962214,-73.18873024
71,"(52, 108)",-38.96920515,-72.37006994
72,"(52, 108)",-38.69503613,-72.27981719
73,"(52, 108)",-38.69563785,-72.27993231
74,"(52, 108)",-38.69563785,-72.27993231
75,"(52, 108)",-38.69503613,-72.27981719
