grid_id,lat,lon,all_count,freq_5yr,freq_10yr,freq_20yr,all_damages,all_deaths,all_affected,reconstruction_costs,avg_duration,unique_disaster_count,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_-36,-10,-36,1,0,0,1,370.0,28.0,2254.0,0.0,1.0,1,,-0.06994110399115183,22.90737759568375,Alagoas,Maceio
-10_-37,-10,-37,6,0,1,2,635770.0,511.0,2253149.0,0.0,6.666666666666667,2,0.015932792584009276,0.7898194836393182,54.724188773802794,Alagoas,Alagoas
-10_-48,-10,-48,1,0,0,1,0.0,0.0,1000000.0,0.0,,1,,-0.6889490967306193,0.0,Tocantins, Tocantins
-10_-66,-10,-66,1,0,0,0,0.0,25.0,20000.0,0.0,27.0,1,,-0.2295159374806378,17.00205648773718,Pando, Nueva Esperanza
-10_-75,-10,-75,2,0,1,2,0.0,418.0,57600.0,0.0,149.5,1,,0.25096910804129197,34.78317158794672,Pasco, Pasco
-10_-78,-10,-78,1,0,0,0,0.0,1.0,100.0,0.0,0.0,1,,-0.5912065052286319,3.617120420057439,Ancash,Huarmey area
-10_124,-10,124,2,0,1,2,1000.0,16.0,15200.0,0.0,30.5,2,,-0.03256387780721413,24.290581437504105,Nusa Tenggara Timur," Kupang districts , Toianas"
-10_14,-10,14,2,0,0,2,0.0,1.0,12000.0,0.0,30.5,1,,-0.50270509535868,6.892256181502511,Cuanza Norte,"Dondo area, Dondo district"
-10_15,-10,15,1,0,0,1,10000.0,31.0,70000.0,0.0,7.0,1,,0.02421995191533089,26.391957581334974,Cuanza Norte,Cambambe-Kwanza Norte
-10_151,-10,151,3,0,1,1,2501500.0,76.0,547340.0,0.0,1.5,2,0.0,0.4339019005325446,41.552891206080496,Milne Bay,"Kitava, Milne Bay"
-10_160,-10,160,9,3,5,5,46000.0,192.0,318745.0,0.0,3.3333333333333335,3,0.048532252744663815,0.6660952777937084,50.14557729499373,Guadalcanal," Guadalcana, Guadalcanal, Guadalcanal region"
-10_31,-10,31,1,0,0,1,20700.0,0.0,1300000.0,0.0,0.0,1,,-0.4467640905226416,8.962442246774295,Northern,Northern
-10_34,-10,34,7,2,5,7,89.0,44.0,90140.0,0.0,12.0,2,-0.02141327623126337,0.26008639414910795,35.120571295170734,Karonga,"Karonga, Karonga District, Karonga district, Kyela"
-10_57,-10,57,1,0,0,0,0.0,1.0,351.0,0.0,0.0,1,,-0.5912065052286319,3.617120420057439,Agalega Islands,Agalega Islands
-11_-37,-11,-37,1,0,0,0,0.0,10.0,100.0,0.0,0.0,1,,-0.35081528520109495,12.513180749565327,Sergipe,Aracaju
-11_-42,-11,-42,1,0,0,0,0.0,50.0,270000.0,0.0,27.0,1,,-0.13451154370477833,20.517845535696395,Bahia, Central
-11_-65,-11,-65,1,1,1,1,200000.0,0.0,67500.0,0.0,41.0,1,,-0.3914900863841975,11.007944887897128,Rondonia,Guajaramirim
-11_-67,-11,-67,1,0,1,1,0.0,13.0,69085.0,0.0,58.0,1,,-0.31680835988086187,13.771661234980758,Pando,Pando
-11_-69,-11,-69,1,1,1,1,0.0,0.0,4000.0,0.0,4.0,1,,-0.6889490967306193,0.0,Pando,Cobija city 
-11_-75,-11,-75,1,0,0,0,0.0,73.0,3019.0,0.0,27.0,1,,-0.0820210329633082,22.460340566210863,Pasco,Villarica
-11_-78,-11,-78,1,0,0,1,0.0,6.0,8349.0,0.0,11.0,1,,-0.41455095138284936,10.154540814923317,Lima,Barranca
-11_14,-11,14,1,0,0,1,0.0,1.0,3000.0,0.0,0.0,1,,-0.5912065052286319,3.617120420057439,Cuanza Sul,Porto-Amboin
-11_15,-11,15,4,1,2,4,0.0,88.0,101544.0,0.0,5.0,2,0.0,0.1440058706880925,30.824826468584476,Cuanza Sul," Cuanza-Sul provinces, Cuanza Sul, Cuanza Sul province, Ebo district"
-11_162,-11,162,2,0,1,1,0.0,1.0,5336.0,0.0,61.5,2,,-0.50270509535868,6.892256181502511,Makira Ulawa,"Makira/Ulawa province, San Cristobal"
-11_166,-11,166,3,1,1,1,2000.0,10.0,9329.0,0.0,0.0,2,0.0,-0.014276882543790975,24.96732085040863,Temotu,"Santa Cruz, Temotu, Temotu province"
