grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_-48,-10,-48,1,0,0,1,0.0,0.0,1000000.0,,October,October:1,,0.0,0.0,Tocantins, Tocantins
-10_124,-10,124,1,0,0,1,1000.0,0.0,15000.0,58.0,August,August:1,,0.19,3.17,Nusa Tenggara Timur, Kupang districts 
-10_151,-10,151,1,0,0,0,0.0,60.0,500000.0,,September,September:1,,2.06,33.87,Milne Bay,Milne Bay
-11_15,-11,15,2,0,0,2,0.0,58.0,25000.0,,January,January:1;September:1,,2.12,34.93,Cuanza Sul," Cuanza-Sul provinces, Cuanza Sul province"
-12_-42,-12,-42,1,1,1,1,5000000.0,0.0,27000000.0,1092.0,January,January:1,,0.43,7.07,Bahia, Bahia
-12_160,-12,160,1,1,1,1,0.0,0.0,67000.0,57.0,September,September:1,,0.0,0.0,Rennell And Bellona, Rennell
-12_17,-12,17,1,0,0,0,0.0,0.0,80000.0,,July,July:1,,0.0,0.0,Bie, Bie
-12_34,-12,34,1,0,0,1,0.0,0.0,520000.0,,October,October:1,,0.0,0.0,Mzimba, Mzimba districts 
-12_43,-12,43,1,0,0,0,0.0,0.0,0.0,,August,August:1,,0.0,0.0,Njazidja,Great Comoros Isl.
-14_34,-14,34,1,0,0,0,0.0,0.0,7000000.0,,April,April:1,,0.0,0.0,Dedza,Dedza
-15_-68,-15,-68,2,0,1,1,417200.0,0.0,1610549.0,,April,April:1;December:1,,0.44,7.27,La Paz,"Altiplano , La Paz"
-15_-70,-15,-70,2,0,0,0,417200.0,0.0,1739049.0,,April,April:1;July:1,,0.44,7.27,Puno,"Andean, Puno department"
-15_13,-15,13,2,0,1,1,0.0,0.0,3733900.0,453.0,January,January:1;March:1,,0.08,1.34,Namibe, Namibe
-15_29,-15,29,1,0,0,0,0.0,0.0,1273204.0,,August,August:1,,0.0,0.0,Lusaka, Eastern Lusaka Provinces
-15_36,-15,36,1,0,0,1,0.0,500.0,2829435.0,,February,February:1,,3.11,51.22,Machinga, Machinga
-15_39,-15,39,1,0,0,0,0.0,0.0,6000000.0,,January,January:1,,0.0,0.0,Nampula, Nampula
-16_24,-16,24,2,0,0,0,0.0,0.0,80000.0,,January,January:1;July:1,,0.08,1.34,Western," west,  west and central"
-16_33,-16,33,1,0,0,1,0.0,9.0,600000.0,,March,March:1,,1.15,18.97,Tete, Tete
-16_34,-16,34,1,0,0,1,0.0,9.0,119500.0,27.0,January,January:1,,1.15,18.97,Tete, Moatize
-17_-61,-17,-61,2,1,1,1,48400.0,0.0,51180.0,27.0,October,October:2,,0.38,6.28,Santa Cruz,"Santa Cruz, Santa Cruz province"
-17_-66,-17,-66,1,0,0,1,0.0,0.0,55000.0,,October,October:1,,0.0,0.0,Cochabamba, Cochabamba
-17_16,-17,16,1,1,1,1,0.0,0.0,1420000.0,58.0,May,May:1,,0.0,0.0,Cunene,Cunene
-17_30,-17,30,1,0,0,0,0.0,0.0,80000.0,,July,July:1,,0.0,0.0,Mashonaland West, south east and west
-17_35,-17,35,1,0,1,1,0.0,0.0,1900000.0,,August,August:1,,0.0,0.0,Nsanje, Nsanje
-18_-45,-18,-45,1,0,0,1,0.0,0.0,0.0,,September,September:1,,0.0,0.0,Minas Gerais,Minas Gerais
-18_14,-18,14,2,0,0,1,0.0,0.0,100000.0,,January,January:1,,0.08,1.34,Omusati," Otjorute,  Ovambo regions "
-18_15,-18,15,1,0,0,1,0.0,0.0,345000.0,,July,July:1,,0.0,0.0,Omusati, Omusati
-18_178,-18,178,1,0,0,1,0.0,0.0,263455.0,,January,January:1,,0.0,0.0,Western,Viti Levu
-19_-68,-19,-68,2,1,1,1,450000.0,0.0,948160.0,302.0,March,March:1,,0.44,7.3,Oruro," Oruro, Oruro"
-19_17,-19,17,1,1,1,1,64000.0,0.0,780000.0,392.0,January,January:1,,0.31,5.07,Oshikoto, Oshikoto
-19_29,-19,29,1,0,1,1,0.0,0.0,1667618.0,,May,May:1,,0.0,0.0,Midlands, Midlands provinces
-19_32,-19,32,1,0,0,1,0.0,0.0,2100000.0,909.0,January,January:1,,0.0,0.0,Manicaland, Manicaland
-19_33,-19,33,1,0,0,1,0.0,0.0,1400000.0,,May,May:1,,0.0,0.0,Manica, Manica
-19_35,-19,35,3,0,1,2,0.0,100000.0,5770000.0,27.0,August,August:1;December:1,0.0,5.9,97.13,Sofala, Sofala
-1_-79,-1,-79,1,0,1,1,0.0,0.0,2500000.0,302.0,March,March:1,,0.0,0.0,Cotopaxi, Cotopaxi
-1_37,-1,37,1,0,0,0,0.0,0.0,1600000.0,,January,January:1,,0.0,0.0,Murang'a, Muranga/Makuyu/Maragwa
-20_-64,-20,-64,2,1,2,2,100000.0,0.0,402855.0,194.5,January,January:1;June:1,,0.4,6.61,Chuquisaca," Chuquisaca,  Chuquisaca provinces"
-20_46,-20,46,1,0,0,1,0.0,0.0,231290.0,,June,June:1,,0.0,0.0,Antananarivo, Betafo districts 
-21_-175,-21,-175,1,1,1,1,0.0,0.0,67000.0,57.0,September,September:1,,0.0,0.0,Tongatapu, Tongatapu
