grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_-78,-10,-78,1,0,0,0,0.0,1.0,100.0,January,January:1,,-0.42,3.16,Ancash,Huarmey area
-10_160,-10,160,1,0,0,0,0.0,34.0,1001.0,April,April:1,,-0.02,16.21,Guadalcanal,Guadalcanal
-10_34,-10,34,2,0,2,2,0.0,4.0,20736.0,December,December:2,,-0.09,13.95,Karonga,Karonga district
-11_162,-11,162,1,0,0,0,0.0,1.0,500.0,August,August:1,,-0.42,3.16,Makira Ulawa,San Cristobal
-11_166,-11,166,2,1,1,1,2000.0,10.0,3329.0,February,February:1;April:1,,0.22,24.09,Temotu,"Temotu, Temotu province"
-12_-75,-12,-75,2,0,0,0,10000.0,153.0,3216.0,March,March:1;October:1,,0.62,37.51,Junin,Huancayo
-12_-77,-12,-77,2,0,0,0,10000.0,84.0,43819.0,April,April:1;October:1,,0.54,34.8,Lima,"Lima area, Lima region"
-12_44,-12,44,1,1,1,1,0.0,0.0,10000.0,March,March:1,,-0.51,0.0,Nzwani,Anjouan Island
-13_-74,-13,-74,1,0,0,1,1100.0,0.0,6580.0,October,October:1,,-0.33,6.03,Ayacucho,Chuschi area
-13_-76,-13,-76,3,0,2,3,600000.0,594.0,665447.0,January,January:1;August:1;October:1,0.0,1.06,51.89,Ica,"Chincha, San Vicente de Canete"
-14_-171,-14,-171,1,0,1,1,0.0,34.0,2500.0,September,September:1,,-0.02,16.21,Eastern, Tula
-14_-72,-14,-72,1,1,1,1,0.0,8.0,604.0,September,September:1,,-0.21,10.02,Cusco,Paruro-Cuzco
-14_-73,-14,-73,1,0,0,1,0.0,4.0,3965.0,August,August:1,,-0.29,7.34,Apurimac,Antabamba
-14_-74,-14,-74,3,0,0,0,1000.0,25.0,15271.0,April,April:1;June:1;November:1,,0.46,32.11,Ayacucho,"Ayacucho, Ayacucho area"
-14_167,-14,167,1,0,0,1,0.0,0.0,503.0,November,November:1,,-0.51,0.0,Torba,Merelava
-14_34,-14,34,1,0,0,0,28000.0,9.0,50100.0,March,March:1,,0.07,19.32,Salima,Salima district
-15_-71,-15,-71,1,1,1,1,0.0,1.0,257.0,December,December:1,,-0.42,3.16,Puno, Paratia cities 
-15_-72,-15,-72,1,0,0,1,0.0,2.0,155.0,December,December:1,,-0.36,5.01,Arequipa,Cayarani
