grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_-75,-10,-75,2,0,1,2,0.0,418.0,57600.0,149.5,May,May:1;July:1,,0.73,16.53,Pasco, Pasco
-12_-77,-12,-77,2,1,1,1,94000.0,38.0,203320.0,88.5,January,January:1;May:1,,3.83,65.11,Lima," Lima, Lima"
-14_-74,-14,-74,1,1,1,1,0.0,1.0,92701.0,20.0,August,August:1,,-0.23,1.54,Ayacucho, Ayacucho
-15_-68,-15,-68,1,0,0,1,0.0,9.0,0.0,88.0,May,May:1,,0.0,5.11,La Paz,La Paz province
-15_-70,-15,-70,1,0,0,1,0.0,5.0,0.0,27.0,July,July:1,,-0.07,3.98,Puno, Puno
-16_-72,-16,-72,2,0,2,2,0.0,272.0,43553.0,42.5,May,May:1;June:1,,0.67,15.58,Arequipa," Arequipa, Arequipa province"
-17_-61,-17,-61,1,0,1,1,0.0,42.0,0.0,27.0,July,July:1,,0.21,8.35,Santa Cruz,Santa Cruz province
-17_-66,-17,-66,2,0,0,2,0.0,15.0,25282.0,27.0,July,July:2,,0.27,9.29,Cochabamba," Cochabamba, Cochabamba"
-17_-71,-17,-71,2,1,1,2,0.0,844.0,1949145.0,103.0,April,April:1;July:1,,0.83,18.09,Moquegua, Moquegua
-18_-45,-18,-45,1,0,0,0,475000.0,0.0,0.0,0.0,June,June:1,,3.6,61.46,Minas Gerais,Minas Gerais
-19_-66,-19,-66,1,1,1,1,0.0,18.0,17490.0,27.0,August,August:1,,0.09,6.53,Potosi, Colquechaca area 
-19_147,-19,147,1,0,0,0,0.0,5.0,100150.0,27.0,January,January:1,,-0.07,3.98,Queensland,Townsville
-24_-46,-24,-46,1,0,1,1,0.0,32.0,0.0,27.0,February,February:1,,0.17,7.76,Sao Paulo, Santos district 
-25_-52,-25,-52,1,0,0,0,600000.0,70.0,600.0,27.0,July,July:1,,4.27,72.02,Parana,Parana
-26_-51,-26,-51,1,0,0,1,0.0,5.0,0.0,27.0,July,July:1,,-0.07,3.98,Santa Catarina,Santa Catarina
-26_-56,-26,-56,1,0,0,1,0.0,5.0,0.0,27.0,July,July:1,,-0.07,3.98,Guaira, Guaira
-26_-57,-26,-57,1,0,0,1,0.0,8.0,0.0,27.0,July,July:1,,-0.01,4.88,Paraguari, Paraguari
-26_26,-26,26,1,1,1,1,0.0,11.0,20.0,9.0,January,January:1,,0.03,5.51,North West,Ngaka Modiri Molema 
-26_28,-26,28,1,0,0,1,0.0,22.0,0.0,6.0,May,May:1,,0.12,6.96,Gauteng,Gauteng
-27_-57,-27,-57,1,0,1,1,0.0,42.0,0.0,27.0,July,July:1,,0.21,8.35,Misiones, Misiones
-29_-58,-29,-58,1,0,0,1,0.0,0.0,200.0,27.0,July,July:1,,-0.33,0.0,Corrientes, Corrientes
-29_31,-29,31,1,0,0,0,0.0,30.0,0.0,0.0,July,July:1,,0.16,7.62,KwaZulu-Natal,Kwazulu Natal
-31_-52,-31,-52,1,0,0,1,0.0,7.0,0.0,27.0,July,July:1,,-0.03,4.61,Rio Grande Do Sul,Porto Alegre district 
-32_-64,-32,-64,1,0,1,1,0.0,42.0,0.0,27.0,July,July:1,,0.21,8.35,Cordoba, Cordoba
-32_147,-32,147,1,0,0,0,0.0,0.0,1000034.0,27.0,December,December:1,,-0.33,0.0,New South Wales,Southern NSW
-33_-61,-33,-61,1,0,0,1,0.0,9.0,0.0,88.0,May,May:1,,0.0,5.11,Santa Fe,Rosario district 
-33_-71,-33,-71,1,0,0,1,0.0,9.0,0.0,88.0,May,May:1,,0.0,5.11,Region Metropolitana De Santiago, Santiago district 
