grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_-36,-10,-36,1,0,0,1,370.0,28.0,2254.0,1.0,June,June:1,,0.27,24.9,Alagoas,Maceio
-10_-37,-10,-37,5,0,1,1,560770.0,451.0,2110149.0,4.4,March,March:2;April:2;July:1,0.0473,1.19,59.88,Alagoas,Alagoas
-10_-66,-10,-66,1,0,0,0,0.0,25.0,20000.0,27.0,February,February:1,,0.09,18.16,Pando, Nueva Esperanza
-10_124,-10,124,1,0,1,1,0.0,16.0,200.0,3.0,November,November:1,,0.03,15.79,Nusa Tenggara Timur,Toianas
-10_14,-10,14,2,0,0,2,0.0,1.0,12000.0,30.5,January,January:1;December:1,,-0.17,8.32,Cuanza Norte,"Dondo area, Dondo district"
-10_15,-10,15,1,0,0,1,10000.0,31.0,70000.0,7.0,January,January:1,,0.37,28.86,Cuanza Norte,Cambambe-Kwanza Norte
-10_160,-10,160,3,2,3,3,26000.0,49.0,78244.0,10.0,January,January:1;April:1;August:1,0.0,0.66,39.96,Guadalcanal,"Guadalcanal, Guadalcanal region"
-10_31,-10,31,1,0,0,1,20700.0,0.0,1300000.0,0.0,February,February:1,,-0.12,10.3,Northern,Northern
-10_34,-10,34,5,2,3,5,89.0,40.0,69404.0,16.8,April,January:2;April:3,0.0,0.6,37.44,Karonga,"Karonga, Karonga District, Karonga district, Kyela"
-11_-42,-11,-42,1,0,0,0,0.0,50.0,270000.0,27.0,February,February:1,,0.19,21.92,Bahia, Central
-11_-65,-11,-65,1,1,1,1,200000.0,0.0,67500.0,41.0,February,February:1,,-0.05,12.65,Rondonia,Guajaramirim
-11_-67,-11,-67,1,0,1,1,0.0,13.0,69085.0,58.0,January,January:1,,0.0,14.71,Pando,Pando
-11_-69,-11,-69,1,1,1,1,0.0,0.0,4000.0,4.0,February,February:1,,-0.39,0.0,Pando,Cobija city 
