grid_id,lat,lon,total_event_count,earliest_event_year,latest_event_year,total_damages,primary_admin1,unique_locations,avg_duration,avg_damage_per_flood,total_deaths,total_affected,reconstruction_costs,predominant_subtype,ofda_response_count,predominant_river_basin,flood_recurrence_interval,event_summary,severity_score
-10_-36,-10,-36,1,2004,2004,531.0,Alagoas,Maceio,1.0,531.0,28.0,2254.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2004 to 2004, total damages: 531.0 ('000 US$)",0.00031055381161825376
-10_-37,-10,-37,5,1967,2009,777910.0,Alagoas,Alagoas,4.4,155582.0,451.0,2110149.0,,Riverine flood,3,,8.4,"5 events (5 floods) from 1967 to 2009, total damages: 777910.0 ('000 US$)",0.051555389097539255
-10_-66,-10,-66,1,1987,1987,,Pando, Nueva Esperanza,,,25.0,20000.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 1987 to 1987, total damages: 0.0 ('000 US$)",0.00041398953434457176
-10_124,-10,124,1,2010,2010,,Nusa Tenggara Timur,Toianas,3.0,,16.0,200.0,,Flash flood,0,,0.0,"1 events (1 floods) from 2010 to 2010, total damages: 0.0 ('000 US$)",0.00026495330198052594
-10_14,-10,14,2,2004,2005,,Cuanza Norte,"Dondo area, Dondo district",30.5,,1.0,12000.0,,Riverine flood,0,"Kapacala, Cuanza, Okavango rivers",0.5,"2 events (2 floods) from 2004 to 2005, total damages: 0.0 ('000 US$)",0.016683226248040448
-10_15,-10,15,1,2000,2000,15736.0,Cuanza Norte,Cambambe-Kwanza Norte,7.0,15736.0,31.0,70000.0,,Riverine flood,0,"Coporolo, Kwanza, Lucala",0.0,"1 events (1 floods) from 2000 to 2000, total damages: 15736.0 ('000 US$)",0.00038534583166493765
-10_160,-10,160,3,2010,2014,29797.0,Guadalcanal,"Guadalcanal, Guadalcanal region",10.0,9932.333333333334,49.0,78244.0,,Riverine flood,1,,1.3333333333333333,"3 events (3 floods) from 2010 to 2014, total damages: 29797.0 ('000 US$)",0.02284482048821424
-10_31,-10,31,1,1998,1998,34410.0,Northern,Northern,0.0,34410.0,0.0,1300000.0,,,0,,0.0,"1 events (1 floods) from 1998 to 1998, total damages: 34410.0 ('000 US$)",9.429494609511076e-05
-10_34,-10,34,5,1998,2018,148.0,Karonga,"Karonga, Karonga District, Karonga district, Kyela",16.8,29.6,40.0,69404.0,,Riverine flood,0,North Rukuru river,4.0,"5 events (5 floods) from 1998 to 2018, total damages: 148.0 ('000 US$)",0.044886425206010834
-11_-42,-11,-42,1,1980,1980,,Bahia, Central,,,50.0,270000.0,,,0,,0.0,"1 events (1 floods) from 1980 to 1980, total damages: 0.0 ('000 US$)",0.0008279790686891435
