year,grid_id,central_lat,central_lon,total_flood_event,total_damages,primary_admin1,unique_locations,avg_duration,avg_damage_per_flood,event_summary
1960,13_80,13,80,1,,Tamil Nadu,Madras City,0.0,,"In 1960: 1 events (1 floods), total damages: N/A ('000 US$)"
1960,23_114,23,114,1,,North,New Territories,0.0,,"In 1960: 1 events (1 floods), total damages: N/A ('000 US$)"
1961,23_114,23,114,1,,North,New Territories,0.0,,"In 1961: 1 events (1 floods), total damages: N/A ('000 US$)"
1961,27_81,27,81,1,,Uttar Pradesh,Uttar Pradesh,0.0,,"In 1961: 1 events (1 floods), total damages: N/A ('000 US$)"
1962,42_2,42,2,1,716614.0,Cataluna,Barcelona,0.0,716614.0,"In 1962: 1 events (1 floods), total damages: 716614.0 ('000 US$)"
1963,20_-72,20,-72,1,,Nord,Grand Riviare du Nord,1.0,,"In 1963: 1 events (1 floods), total damages: N/A ('000 US$)"
1963,36_-6,36,-6,1,,Tanger-Tetouan,Tanger,,,"In 1963: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,16_80,16,80,1,4368.0,Andhra Pradesh,Andhra Pradesh,,4368.0,"In 1964: 1 events (1 floods), total damages: 4368.0 ('000 US$)"
1964,37_-120,37,-120,1,7163735.0,California,South California,,7163735.0,"In 1964: 1 events (1 floods), total damages: 7163735.0 ('000 US$)"
1964,-12_-42,-12,-42,1,,Bahia,Bahia state,,,"In 1964: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,18_46,18,46,1,,Najran,Najran,0.0,,"In 1964: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,31_74,31,74,1,4368.0,Punjab,Lahore district,,4368.0,"In 1964: 1 events (1 floods), total damages: 4368.0 ('000 US$)"
1964,31_75,31,75,1,,Punjab, Punjab,,,"In 1964: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,33_11,33,11,1,,Medenine,Zarzis area,0.0,,"In 1964: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,23_91,23,91,1,43681.0,Chittagong, Comilla,,43681.0,"In 1964: 1 events (1 floods), total damages: 43681.0 ('000 US$)"
1964,-6_39,-6,39,1,,Tanga,Pangani river basin,,,"In 1964: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,40_31,40,31,1,,Eskisehir,Western-Eskisehir,0.0,,"In 1964: 1 events (1 floods), total damages: N/A ('000 US$)"
1964,-18_178,-18,178,1,9610.0,Western,Western,0.0,9610.0,"In 1964: 1 events (1 floods), total damages: 9610.0 ('000 US$)"
1964,-7_-37,-7,-37,1,4368.0,Paraiba,Paraiba,0.0,4368.0,"In 1964: 1 events (1 floods), total damages: 4368.0 ('000 US$)"
1964,37_10,37,10,1,26209.0,Ben Arous (Tunis Sud),Khledia,0.0,26209.0,"In 1964: 1 events (1 floods), total damages: 26209.0 ('000 US$)"
1965,-8_-35,-8,-35,1,60200.0,Pernambuco, Recife,,60200.0,"In 1965: 1 events (1 floods), total damages: 60200.0 ('000 US$)"
1965,-25_-52,-25,-52,1,85999.0,Parana,South,0.0,85999.0,"In 1965: 1 events (1 floods), total damages: 85999.0 ('000 US$)"
1965,37_128,37,128,1,313898.0,Chungcheongbuk-Do,Nationwide,0.0,313898.0,"In 1965: 1 events (1 floods), total damages: 313898.0 ('000 US$)"
1965,20_96,20,96,1,,Mandalay,Yamenthin district,0.0,,"In 1965: 1 events (1 floods), total damages: N/A ('000 US$)"
1965,32_36,32,36,1,8600.0,Amman,Amman,0.0,8600.0,"In 1965: 1 events (1 floods), total damages: 8600.0 ('000 US$)"
