grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_-37,-10,-37,1,0,0,1,75000.0,60.0,143000.0,18.0,July,July:1,,3.55,72.86,Alagoas,Alagoas
-12_-42,-12,-42,1,0,0,0,0.0,31.0,0.0,0.0,June,June:1,,-0.02,16.67,Bahia,Santa Luzia
-12_-73,-12,-73,1,0,0,1,0.0,11.0,0.0,0.0,September,September:1,,-0.32,11.95,Cusco,La Convenci?n district
-12_-75,-12,-75,3,0,0,1,0.0,240.0,4150.0,0.0,April,April:1;October:1;December:1,0.0,0.94,31.78,Junin,"Colcabamba department, Junin district, San Juan Ubirique "
-12_-77,-12,-77,4,0,0,1,3000.0,647.0,1200.0,13.5,March,February:1;March:2;November:1,0.0,3.75,76.13,Lima,"Chungar, Esat of Lima, Lima, Sicsi"
-13_-38,-13,-38,4,1,1,2,0.0,152.0,24.0,0.0,April,April:2;May:2,0.0,0.91,31.33,Bahia,"Salvador, Salvador City, Salvador city "
-13_-39,-13,-39,1,0,0,0,0.0,69.0,78000.0,0.0,May,May:1,,0.22,20.44,Bahia, Santo Amaro Da Purificado 
-13_-72,-13,-72,2,0,0,1,0.0,211.0,30076.0,0.0,March,March:1;April:1,,0.76,28.92,Cusco,"Cuzco, Machu Picchu "
-13_-73,-13,-73,1,0,0,1,0.0,14.0,2600.0,0.0,January,January:1,,-0.25,13.03,Cusco,Santa Teresa
-13_-74,-13,-74,2,0,1,1,0.0,84.0,1538.0,0.0,January,January:1;December:1,,0.48,24.53,Ayacucho," Carmen Alto municipality , Chuschi "
-13_-75,-13,-75,1,0,0,0,21700.0,310.0,13500.0,0.0,April,April:1,,3.67,74.83,Huancavelica,Mayunmarca
-14_-70,-14,-70,1,0,1,1,0.0,33.0,0.0,0.0,March,March:1,,0.0,16.96,Puno,Huanchumay village 
-14_-71,-14,-71,1,0,0,0,0.0,300.0,30000.0,0.0,February,February:1,,0.67,27.46,Cusco,Canchis 
-15_-67,-15,-67,1,1,1,1,200000.0,74.0,11400.0,58.0,January,January:1,,3.9,78.5,El Beni, Rurrenabaque town 
-15_-68,-15,-68,1,0,0,0,0.0,40.0,0.0,0.0,April,April:1,,0.06,17.87,La Paz,La Paz
-15_-70,-15,-70,1,0,0,0,0.0,20.0,0.0,0.0,January,January:1,,-0.15,14.65,Puno,Puno
-15_-72,-15,-72,1,0,0,1,0.0,31.0,7.0,0.0,January,January:1,,-0.02,16.67,Arequipa,Near Choco
-16_-67,-16,-67,2,1,1,1,0.0,19.0,165029.0,13.5,February,February:1;September:1,,0.04,17.56,La Paz,"Caranari, Caranavi town "
-16_-68,-16,-68,3,0,1,2,400000.0,118.0,5601.0,0.0,February,February:1;March:1;December:1,0.0,4.59,89.38,La Paz,"Chima town , Murillo province, Tipuani"
-16_36,-16,36,1,0,0,1,0.0,87.0,2500.0,0.0,January,January:1,,0.29,21.54,Zambezia,Milange district 
-17_-152,-17,-152,1,0,0,1,0.0,13.0,11.0,0.0,April,April:1,,-0.27,12.7,Iles Sous-le-Vent,Raiatea and Tahaa Is.
-17_-66,-17,-66,1,0,0,1,0.0,60.0,23.0,0.0,February,February:1,,0.18,19.78,Cochabamba,Mocotoro
-18_-149,-18,-149,2,0,0,1,0.0,10.0,500.0,0.0,April,April:1;December:1,,-0.14,14.69,Iles Du Vent,Tahiti
-18_-45,-18,-45,1,0,0,0,0.0,24.0,600.0,8.0,January,January:1,,-0.09,15.49,Minas Gerais,Minas Gerais
