grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-10_151,-10,151,2,0,1,1,2501500.0,16.0,47340.0,1.5,February,February:1;May:1,,0.27,31.68,Milne Bay,"Kitava, Milne Bay"
-10_160,-10,160,5,1,2,2,20000.0,109.0,239500.0,0.0,January,January:2;March:1;May:1;November:1,0.0,0.67,45.34,Guadalcanal," Guadalcana, Guadalcanal"
-10_57,-10,57,1,0,0,0,0.0,1.0,351.0,0.0,December,December:1,,-0.54,3.94,Agalega Islands,Agalega Islands
-11_-37,-11,-37,1,0,0,0,0.0,10.0,100.0,0.0,June,June:1,,-0.26,13.64,Sergipe,Aracaju
-12_160,-12,160,1,0,0,1,0.0,0.0,275.0,2.0,January,January:1,,-0.65,0.0,Rennell And Bellona,Bellona Island
-12_169,-12,169,4,0,0,2,0.0,0.0,1910.0,0.33,March,March:1;June:1;December:1,0.0,-0.39,9.03,Temotu,"Tikopia, Tikopia Island"
-12_34,-12,34,1,0,0,1,0.0,11.0,8.0,0.0,December,December:1,,-0.24,14.13,Mzimba,Mzimba
-12_39,-12,39,1,0,1,1,0.0,77.0,85015.0,0.0,February,February:1,,0.07,24.78,Cabo Delgado,Cabo Delgado
-12_43,-12,43,1,0,0,0,5568.0,2.0,35000.0,0.0,February,February:1,,-0.27,13.02,Njazidja,Grande Comore
-12_44,-12,44,5,1,1,2,37236.0,57.0,89863.0,0.8,January,January:3;March:1;April:1,0.0,0.58,42.19,Mwali,"Anjouan, Fomboni, Moheli"
-13_48,-13,48,1,0,1,1,0.0,0.0,400.0,1.0,March,March:1,,-0.65,0.0,Antsiranana,Nosy Be
-13_49,-13,49,1,0,0,1,0.0,20.0,526200.0,0.0,May,May:1,,-0.15,17.32,Antsiranana,Ambilobe
-14_-170,-14,-170,1,0,0,1,0.0,0.0,0.0,0.0,February,February:1,,-0.65,0.0,Manu'a,Manu'a
-14_-172,-14,-172,6,0,0,1,644338.0,31.0,401064.0,0.5,January,January:3;February:2;December:1,0.0,0.59,42.57,A'ana,"A'Ana, Fa'Asaleleaga"
-14_167,-14,167,1,0,1,1,2500000.0,1.0,7300.0,3.0,February,February:1,,-0.2,15.51,Torba,Torres Island group
-14_48,-14,48,3,0,0,2,250200.0,375.0,988311.0,1.67,March,March:2;December:1,0.0,0.82,50.32,Antsiranana,"Ambajana, Ambanja"
-14_50,-14,50,1,0,0,1,0.0,3.0,0.0,0.0,April,April:1,,-0.42,7.88,Antsiranana,Sambava district
-15_167,-15,167,3,0,0,0,1000.0,4.0,4700.0,0.0,January,January:1;February:1;December:1,0.0,-0.03,21.41,Sanma,"Santo, West Espiritu Santo, West Santo"
-15_168,-15,168,5,2,2,4,2000.0,17.0,76324.0,1.2,March,January:1;February:1;March:2;April:1,0.0,0.32,33.24,Penama,"Ambae, East Ambae, NW Ambae, Penama, Pentecost"
-15_39,-15,39,2,0,0,1,0.0,13.0,105750.0,0.0,November,November:1;December:1,,-0.1,19.01,Nampula,"Nampula, Nampula province"
-15_50,-15,50,5,0,1,3,250000.0,185.0,554791.0,11.6,February,January:1;February:2;April:1;December:1,0.0,0.82,50.32,Antsiranana,"Andapa, Antalaha"
-16_-174,-16,-174,4,0,0,3,203800.0,1.0,43163.0,0.0,January,January:2;February:1;December:1,0.0,0.01,22.58,Niuas,"Niuafo'ou, Niuafoou, Niuatoputapu, Nuiatoputapu islands"
-16_168,-16,168,2,1,1,2,0.0,1.0,2564.0,2.5,February,February:1;May:1,,-0.42,7.94,Malampa," Malampa, Lopevi Island"
-16_179,-16,179,2,2,2,2,650000.0,45.0,629808.0,1.5,February,February:1;April:1,,0.41,36.28,Northern," Labasa,  Macuata districts "
-16_36,-16,36,1,0,0,1,0.0,5.0,350.0,0.0,November,November:1,,-0.36,10.19,Zambezia,Milange
-16_40,-16,40,2,0,1,2,0.0,23.0,369672.0,0.5,March,March:1;April:1,,-0.01,22.07,Nampula,"Angoche, Zngoche"
-16_46,-16,46,1,0,1,1,0.0,12.0,8613.0,0.0,January,January:1,,-0.23,14.59,Mahajanga,Boeny
-16_49,-16,49,2,0,0,2,240000.0,81.0,215198.0,2.0,March,March:2,,0.48,38.79,Toamasina,"Analajirofo, Sainte-Marie Island"
-17_-152,-17,-152,1,0,0,0,21000.0,1.0,5050.0,0.0,April,April:1,,-0.31,11.76,Iles Sous-le-Vent,Moorea/Tetisura
-17_-66,-17,-66,1,0,1,1,0.0,0.0,6655.0,1.0,November,November:1,,-0.65,0.0,Tarija,Cercado
-17_-71,-17,-71,1,0,0,1,0.0,59.0,86682.0,27.0,July,July:1,,0.03,23.29,Moquegua, Moquegua
-17_146,-17,146,1,0,0,1,90000.0,1.0,200.0,15.0,February,February:1,,-0.28,12.9,Queensland,Cairns
-17_155,-17,155,1,0,0,0,20000.0,1.0,3000.0,0.0,December,December:1,,-0.31,11.72,Northern,Taveuni
-17_168,-17,168,5,0,0,0,25000.0,48.0,48000.0,0.2,January,January:2;February:1;March:1;April:1,-0.4536,0.54,40.92,Shefa,"Efate, Tongoa"
-17_179,-17,179,2,0,0,1,30000.0,17.0,31150.0,0.0,January,January:1;April:1,,0.18,28.53,Northern,Bua
-17_31,-17,31,1,1,1,1,0.0,5.0,350.0,2.0,January,January:1,,-0.36,10.19,Mashonaland Central, Mashonaland West
-17_35,-17,35,1,0,1,1,0.0,0.0,300.0,0.0,January,January:1,,-0.65,0.0,Nsanje,Nsanje district
-17_37,-17,37,1,0,1,1,0.0,0.0,3376.0,10.0,March,March:1,,-0.65,0.0,Zambezia,Zambezia
-17_47,-17,47,1,0,0,0,0.0,36.0,250000.0,0.0,February,February:1,,-0.05,20.54,Mahajanga,Mahajanga
-17_48,-17,48,1,0,1,1,5000.0,15.0,64918.0,0.0,April,April:1,,0.0,22.46,Toamasina,Amparafaravola
-17_49,-17,49,3,1,2,2,0.0,42.0,213377.0,3.33,January,January:2;March:1,0.0,0.17,28.23,Toamasina," Soanierana Ivongo, Fenerive, Fenoarivo Atsinanana"
-18_-114,-18,-114,5,0,0,2,2503.0,54.0,70101.0,0.4,March,January:1;March:2;April:1;December:1,0.3387,0.51,39.77,Eastern,"Cikobia, Lau Islands, Lau group, Southern Lau group"
-18_-149,-18,-149,1,0,1,1,11000.0,1.0,3411.0,0.0,February,February:1,,-0.33,11.25,Iles Du Vent, Moorea
-18_-174,-18,-174,2,1,1,1,600500.0,47.0,548558.0,0.5,February,February:1;March:1,,0.41,36.46,Vava'u,"Vava'u Ha'Apai, VavaÕu Isl."
-18_146,-18,146,1,0,1,1,2500000.0,1.0,7300.0,3.0,February,February:1,,-0.2,15.51,Queensland,Cardwell
-18_168,-18,168,2,0,0,0,6000.0,4.0,13155.0,0.0,March,March:2,,-0.07,19.98,Shefa,"North Efate, Port Vila"
-18_178,-18,178,18,2,5,9,367083.0,152.0,676303.0,0.94,January,January:6;March:6;April:3;November:1;December:2,-0.0573,1.13,60.87,Western,"Ba, Lautoka, Nadi, Naitasiri, Suva, Viti Levu Isl., Western, Yasawa & Mamanuca group"
-18_37,-18,37,2,0,1,1,0.0,100.0,4300.0,0.0,January,January:1;March:1,,0.23,30.25,Zambezia,"Quelimane, Quelimane city"
-18_48,-18,48,3,0,1,1,235000.0,234.0,622022.0,5.0,February,February:1;March:1;December:1,0.0,0.74,47.6,Toamasina,"Ambatondrazaka, Countrywide"
-18_49,-18,49,1,0,0,0,0.0,7.0,10050.0,27.0,January,January:1,,-0.31,11.83,Toamasina, Tamatave 
-19_-43,-19,-43,1,0,0,0,0.0,22.0,3000.0,0.0,September,September:1,,-0.13,17.83,Minas Gerais,Ipatinga
-19_122,-19,122,1,0,0,1,0.0,0.0,750.0,0.0,December,December:1,,-0.65,0.0,Western Australia,Bidyadanga
-19_133,-19,133,3,1,1,2,978000.0,67.0,46898.0,4.67,February,February:1;March:1;December:1,0.0,0.56,41.67,Northern Territory,"Darwin, Northern territory"
-19_169,-19,169,2,0,1,2,0.0,0.0,34400.0,0.5,January,January:1;March:1,,-0.54,4.0,Tafea,"North Tanna, Tafea province"
-19_178,-19,178,1,0,0,0,0.0,59.0,5000.0,0.0,December,December:1,,0.03,23.29,Eastern,Kadavu
-19_33,-19,33,3,0,1,2,0.0,263.0,2525010.0,0.0,March,January:1;March:2,0.0,0.47,38.55,Manica,"Chimolo provinciale, Manica"
-19_46,-19,46,1,0,1,1,0.0,77.0,85015.0,0.0,February,February:1,,0.07,24.78,Antananarivo,Kelilalina
-19_47,-19,47,2,1,1,2,20000.0,113.0,478543.0,6.0,January,January:1;March:1,,0.48,38.71,Antananarivo," Itasy, Antananarivo"
-19_48,-19,48,2,0,0,1,259000.0,237.0,854937.0,11.5,February,February:1;December:1,,0.66,44.91,Antananarivo,"Ambatolampy, Antananarivo"
-19_49,-19,49,2,0,1,2,100000.0,124.0,412370.0,0.5,February,February:1;May:1,,0.53,40.5,Toamasina,Vatomandry
-1_18,-1,18,1,0,0,1,0.0,11.0,73.0,0.0,October,October:1,,-0.24,14.13,Equateur,Equateur province
