grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
-11_166,-11,166,1,0,0,0,0.0,0.0,6000.0,,Unknown,NA,,0.0,0.0,Temotu,Santa Cruz
-12_43,-12,43,5,0,0,3,0.0,2.0,309200.0,3.2,April,April:2;May:1;July:1;November:1,0.1828,0.85,12.24,Njazidja,"Dimani, Grande Comore, Ngazidja province"
-14_167,-14,167,1,0,1,1,0.0,0.0,400.0,0.0,November,November:1,,0.0,0.0,Torba,Torba province
-15_168,-15,168,2,1,1,2,0.0,0.0,16000.0,4.5,September,September:1;November:1,,0.2,2.89,Penama,"Ambae, Penama province"
-16_-71,-16,-71,1,1,1,1,0.0,0.0,1040.0,253.0,September,September:1,,0.0,0.0,Moquegua, General Sanchez Cerro district 
-16_168,-16,168,4,1,2,4,0.0,0.0,20786.0,37.75,December,May:1;June:1;December:2,0.0,0.45,6.52,Malampa,"Ambrym island , Malampa province, Paama"
-17_-71,-17,-71,1,0,0,1,0.0,0.0,3000.0,27.0,March,March:1,,0.0,0.0,Moquegua, La Capilla
-1_-78,-1,-78,1,0,0,1,0.0,0.0,21500.0,0.0,October,October:1,,0.0,0.0,Tungurahua,Banos de Angua Santa district 
-1_-79,-1,-79,8,2,2,5,10975.0,1.0,1003062.0,29.62,August,May:1;June:1;July:1;August:2;November:1;December:2,-0.0145,3.73,53.75,Cotopaxi,"  Pelileo,  Mocha,  Tisaleo districts , Cotapaxi, Cotopaxi, Cusua village , El Sangay"
-1_100,-1,100,1,0,0,0,0.0,82.0,0.0,27.0,May,May:1,,1.23,17.79,Sumatera Barat,Ouest Sumatra
-1_101,-1,101,1,0,0,1,0.0,0.0,26000.0,0.0,April,April:1,,0.0,0.0,Sumatera Barat,Solok district 
-1_122,-1,122,1,0,0,0,25500.0,0.0,7101.0,0.0,July,July:1,,3.04,43.91,Sulawesi Tengah,Unauna Isl. 
-21_56,-21,56,1,0,0,0,0.0,0.0,1000.0,0.0,April,April:1,,0.0,0.0,Saint-Benoit,Sainte Rose
